,car_name,brand,year_of_manufacture,kms_driven,fuel_type,transmission_type,emi,price,car_age_years,city
175,Toyota Innova,Toyota,2015,182347,Diesel,Manual,17271,520000.0,11,Vadodara
176,Maruti Ertiga,Maruti,2019,120390,Diesel,Manual,18481,850000.0,7,Vadodara
177,Maruti Swift,Maruti,2014,88949,Petrol,Manual,10230,308000.0,12,Vadodara
178,Ford Ecosport,Ford,2020,49088,Diesel,Manual,12269,695000.0,6,Vadodara
179,Renault Lodgy,Renault,2015,193635,Diesel,Manual,8304,250000.0,11,Vadodara
180,Mahindra XUV500,Mahindra,2019,52195,Diesel,Manual,15102,882000.0,7,Vadodara
181,Maruti New Wagon-R,Maruti,2023,41315,Petrol,Manual,7767,440000.00000000006,3,Vadodara
182,Maruti Zen Estilo,Maruti,2011,58890,Petrol,Manual,7767,96000.0,15,Vadodara
183,Maruti S PRESSO,Maruti,2019,36274,Petrol,Manual,5331,302000.0,7,Vadodara
184,Tata ALTROZ,Tata,2022,40610,Petrol,Manual,9621,545000.0,4,Vadodara
185,Tata Harrier,Tata,2020,97397,Diesel,Manual,16609,969999.9999999999,6,Vadodara
186,Hyundai Xcent,Hyundai,2015,50105,Petrol,Manual,8716,331000.0,11,Vadodara
187,Skoda SLAVIA,Skoda,2022,87352,Petrol,Auto,14554,850000.0,4,Vadodara
188,Maruti Baleno,Maruti,2019,57383,Petrol,Manual,7308,413999.99999999994,7,Vadodara
189,Hyundai Creta,Hyundai,2018,80758,Diesel,Manual,12238,626000.0,8,Vadodara
190,Hyundai Creta,Hyundai,2021,98260,Diesel,Manual,20085,1173000.0,5,Vadodara
191,Ford Ecosport,Ford,2016,89247,Diesel,Manual,9744,370000.0,10,Vadodara
192,Ford Ecosport,Ford,2017,129953,Diesel,Manual,9765,438999.99999999994,9,Vadodara
193,Jeep Compass,Jeep,2017,76095,Petrol,Auto,13626,697000.0,9,Vadodara
194,Ford Ecosport,Ford,2014,87493,Petrol,Manual,10894,328000.0,12,Vadodara
195,Volkswagen Polo,Volkswagen,2016,88540,Diesel,Manual,10744,408000.0,10,Vadodara
196,Hyundai Elite i20,Hyundai,2019,102016,Petrol,Manual,10054,451999.99999999994,7,Vadodara
197,Tata NEXON,Tata,2022,59110,Petrol,Manual,10786,611000.0,4,Vadodara
198,Maruti Vitara Brezza,Maruti,2020,49919,Petrol,Manual,9621,545000.0,6,Vadodara
199,Mercedes Benz C Class,Mercedes,2012,40223,Petrol,Auto,53309,600000.0,14,Vadodara
200,Hyundai Elite i20,Hyundai,2015,143171,Petrol,Manual,9823,373000.0,11,Vadodara
201,Volkswagen Ameo,Volkswagen,2018,59762,Petrol,Manual,7944,450000.0,8,Vadodara
202,Maruti Eeco,Maruti,2019,24965,Petrol,Manual,6355,360000.0,7,Vadodara
203,Toyota YARIS,Toyota,2018,113395,Petrol,Auto,12390,557000.0,8,Vadodara
204,Tata Harrier,Tata,2021,22120,Diesel,Auto,23115,1350000.0,5,Vadodara
205,Skoda KUSHAQ,Skoda,2022,37848,Petrol,Manual,14605,852999.9999999999,4,Vadodara
206,Maruti Baleno,Maruti,2022,53313,Petrol,Manual,9303,527000.0,4,Vadodara
207,Mahindra MARAZZO,Mahindra,2019,112983,Diesel,Manual,13502,607000.0,7,Vadodara
208,Hyundai New Elantra,Hyundai,2018,126688,Diesel,Auto,15571,700000.0,8,Vadodara
209,Hyundai AURA,Hyundai,2024,32849,Petrol,Manual,13557,768000.0,2,Vadodara
210,Mahindra XUV700,Mahindra,2024,5691,Petrol,Auto,26471,1546000.0,2,Vadodara
211,Hyundai NEW SANTRO,Hyundai,2019,40530,Petrol,Manual,5914,335000.0,7,Vadodara
212,Maruti Baleno,Maruti,2024,19346,Petrol,Manual,11969,678000.0,2,Vadodara
