,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
3705,Mahindra Scorpio,Mahindra,2021,"75,923 km",Diesel,Manual,"EMI ₹24,808/m*",₹11.41 lakh
3706,Maruti Dzire,Maruti,2022,"51,375 km",Petrol,Manual,"EMI ₹10,927/m*",₹6.19 lakh
3707,Hyundai Elite i20,Hyundai,2018,"16,905 km",Petrol,Manual,"EMI ₹7,767/m*",₹4.40 lakh
3708,Hyundai GRAND I10 NIOS,Hyundai,2020,"61,155 km",Petrol,Manual,"EMI ₹7,538/m*",₹4.27 lakh
3709,Honda Amaze,Honda,2017,"54,110 km",Petrol,Manual,"EMI ₹6,364/m*",₹3.25 lakh
3710,Hyundai Grand i10,Hyundai,2019,"51,386 km",Petrol,Auto,"EMI ₹6,620/m*",₹3.75 lakh
3711,Ford Ecosport,Ford,2018,"1,00,090 km",Petrol,Manual,"EMI ₹10,010/m*",₹4.50 lakh
3712,Honda City,Honda,2014,"84,809 km",Petrol,Manual,"EMI ₹10,629/m*",₹3.20 lakh
3713,Maruti Wagon R 1.0,Maruti,2012,"1,04,239 km",Petrol,Manual,"EMI ₹11,995/m*",₹1.35 lakh
3714,Hyundai Verna,Hyundai,2023,"46,625 km",Petrol,Auto,"EMI ₹18,150/m*",₹10.60 lakh
3715,Honda City,Honda,2015,"82,152 km",Petrol,Auto,"EMI ₹10,297/m*",₹3.91 lakh
3716,Mahindra XUV500,Mahindra,2016,"1,60,951 km",Diesel,Manual,"EMI ₹10,297/m*",₹5.76 lakh
3717,Hyundai Santro Xing,Hyundai,2012,"1,10,140 km",Petrol,Manual,"EMI ₹8,618/m*",₹0.97 lakh
3718,Tata PUNCH,Tata,2023,"16,812 km",Petrol,Manual,"EMI ₹10,062/m*",₹5.70 lakh
3719,Maruti New Wagon-R,Maruti,2021,"1,53,997 km",Petrol,Manual,"EMI ₹9,521/m*",₹4.28 lakh
3720,Honda Mobilio,Honda,2015,"79,795 km",Petrol,Manual,"EMI ₹8,901/m*",₹3.38 lakh
3721,Hyundai Grand i10,Hyundai,2018,"24,769 km",Petrol,Manual,"EMI ₹5,914/m*",₹3.35 lakh
3722,Maruti Dzire,Maruti,2022,"54,291 km",Petrol,Manual,"EMI ₹11,721/m*",₹6.64 lakh
3723,KIA SONET,KIA,2020,"34,799 km",Petrol,Manual,"EMI ₹10,998/m*",₹6.23 lakh
3724,Maruti New Wagon-R,Maruti,2022,"34,430 km",Petrol,Manual,"EMI ₹8,562/m*",₹4.85 lakh
3725,Hyundai Elite i20,Hyundai,2017,"1,01,144 km",Petrol,Manual,"EMI ₹7,563/m*",₹3.40 lakh
3726,Maruti New Wagon-R,Maruti,2022,"85,070 km",Petrol,Manual,"EMI ₹7,873/m*",₹4.46 lakh
3727,Hyundai Creta,Hyundai,2019,"1,25,722 km",Diesel,Auto,"EMI ₹23,250/m*",₹7.00 lakh
3728,Honda City,Honda,2013,"61,941 km",Petrol,Manual,"EMI ₹12,663/m*",₹2.69 lakh
3729,Hyundai NEW SANTRO,Hyundai,2022,"56,294 km",Petrol,Manual,"EMI ₹7,291/m*",₹4.13 lakh
3730,Hyundai Creta,Hyundai,2018,"74,257 km",Diesel,Manual,"EMI ₹35,305/m*",₹7.50 lakh
3731,Maruti New Wagon-R,Maruti,2022,"22,021 km",Petrol,Manual,"EMI ₹7,308/m*",₹4.14 lakh
3732,Toyota Etios,Toyota,2015,"1,85,352 km",Petrol,Manual,"EMI ₹8,690/m*",₹3.30 lakh
3733,Toyota Innova Crysta,Toyota,2017,"1,03,814 km",Diesel,Auto,"EMI ₹115,073/m*",₹13.02 lakh
3734,Maruti New Wagon-R,Maruti,2020,"1,08,937 km",Petrol,Manual,"EMI ₹7,941/m*",₹3.57 lakh
3735,Honda City,Honda,2017,"29,600 km",Petrol,Manual,"EMI ₹9,384/m*",₹4.80 lakh
3736,Hyundai Verna,Hyundai,2018,"62,186 km",Diesel,Manual,"EMI ₹28,574/m*",₹6.07 lakh
3737,Hyundai i20,Hyundai,2011,"98,201 km",Petrol,Manual,"EMI ₹28,574/m*",₹0.89 lakh
3738,Maruti Ciaz,Maruti,2017,"1,17,338 km",Diesel,Manual,"EMI ₹28,432/m*",₹3.20 lakh
3739,Hyundai Creta,Hyundai,2017,"77,495 km",Petrol,Manual,"EMI ₹11,241/m*",₹5.75 lakh
3740,Maruti Celerio,Maruti,2019,"1,02,832 km",Petrol,Manual,"EMI ₹7,496/m*",₹3.37 lakh
3741,Maruti New Wagon-R,Maruti,2022,"97,204 km",Petrol,Manual,"EMI ₹7,520/m*",₹4.26 lakh
3742,Hyundai Creta,Hyundai,2015,"99,585 km",Diesel,Auto,"EMI ₹7,520/m*",₹4.00 lakh
3743,Maruti Vitara Brezza,Maruti,2018,"1,13,962 km",Diesel,Manual,"EMI ₹22,548/m*",₹4.79 lakh
3744,Maruti S Cross,Maruti,2018,"1,02,347 km",Diesel,Manual,"EMI ₹24,949/m*",₹5.30 lakh
3745,Renault Captur,Renault,2017,"1,44,976 km",Diesel,Manual,"EMI ₹32,430/m*",₹3.65 lakh
3746,Maruti New Wagon-R,Maruti,2020,"35,369 km",Petrol,Manual,"EMI ₹6,214/m*",₹3.52 lakh
3747,Maruti Swift,Maruti,2019,"50,829 km",Petrol,Manual,"EMI ₹8,138/m*",₹4.61 lakh
3748,Hyundai Santro Xing,Hyundai,2012,"1,00,915 km",Petrol,Manual,"EMI ₹9,151/m*",₹1.03 lakh
3749,Maruti Vitara Brezza,Maruti,2019,"68,541 km",Diesel,Manual,"EMI ₹18,600/m*",₹5.60 lakh
3750,Tata NEXON,Tata,2022,"60,817 km",Petrol,Manual,"EMI ₹11,527/m*",₹6.53 lakh
3751,Jeep Compass,Jeep,2017,"1,01,510 km",Diesel,Manual,"EMI ₹53,309/m*",₹6.00 lakh
3752,Honda Amaze,Honda,2023,"65,463 km",Petrol,Manual,"EMI ₹9,585/m*",₹5.43 lakh
3753,Hyundai Elite i20,Hyundai,2018,"53,804 km",Petrol,Manual,"EMI ₹7,255/m*",₹4.11 lakh
3754,Mahindra XUV700,Mahindra,2023,"17,982 km",Petrol,Auto,"EMI ₹33,303/m*",₹19.45 lakh
