,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
69,Volkswagen Polo,Volkswagen,2020,"62,975 km",Petrol,Manual,"EMI ₹7,944/m*",₹4.50 lakh
70,Tata NEXON,Tata,2024,"51,999 km",Diesel,Manual,"EMI ₹19,691/m*",₹11.50 lakh
71,Hyundai Creta,Hyundai,2015,"89,955 km",Petrol,Manual,"EMI ₹11,982/m*",₹4.55 lakh
72,Honda Amaze,Honda,2016,"1,23,070 km",Diesel,Manual,"EMI ₹8,032/m*",₹3.05 lakh
73,Maruti Wagon R 1.0,Maruti,2014,"94,441 km",Petrol,Manual,"EMI ₹8,038/m*",₹2.42 lakh
74,Maruti Grand Vitara,Maruti,2024,"40,044 km",Petrol,Manual,"EMI ₹17,088/m*",₹9.98 lakh
75,Maruti Dzire,Maruti,2020,"94,983 km",Petrol,Auto,"EMI ₹10,397/m*",₹5.89 lakh
76,Maruti Baleno,Maruti,2020,"1,26,745 km",Petrol,Manual,"EMI ₹9,432/m*",₹4.24 lakh
77,Volkswagen Jetta,Volkswagen,2015,"89,946 km",Petrol,Manual,"EMI ₹8,927/m*",₹3.39 lakh
78,Honda Amaze,Honda,2014,"1,02,875 km",Diesel,Manual,"EMI ₹15,016/m*",₹3.19 lakh
79,Maruti Baleno,Maruti,2019,"60,492 km",Diesel,Manual,"EMI ₹9,568/m*",₹5.42 lakh
80,Maruti Ertiga,Maruti,2020,"70,269 km",Petrol,Manual,"EMI ₹15,119/m*",₹8.83 lakh
81,Maruti Ertiga,Maruti,2015,"1,50,671 km",Diesel,Manual,"EMI ₹19,264/m*",₹5.80 lakh
82,Tata TIGOR,Tata,2022,"39,906 km",Petrol,Manual,"EMI ₹11,298/m*",₹6.40 lakh
83,Maruti Swift Dzire,Maruti,2011,"1,01,539 km",Diesel,Manual,"EMI ₹11,298/m*",₹2.20 lakh
84,Tata TIGOR,Tata,2018,"91,280 km",Petrol,Manual,"EMI ₹7,202/m*",₹4.08 lakh
85,Skoda Rapid,Skoda,2015,"94,872 km",Diesel,Manual,"EMI ₹10,695/m*",₹3.22 lakh
86,Mahindra XUV 3XO,Mahindra,2025,"22,573 km",Diesel,Manual,"EMI ₹18,287/m*",₹10.68 lakh
87,Maruti Ertiga,Maruti,2012,"1,00,265 km",Diesel,Manual,"EMI ₹18,287/m*",₹4.10 lakh
88,Tata TIGOR,Tata,2023,"10,702 km",Petrol,Manual,"EMI ₹11,969/m*",₹6.78 lakh
89,Mahindra XUV700,Mahindra,2021,"50,632 km",Petrol,Auto,"EMI ₹23,115/m*",₹13.50 lakh
90,Toyota Glanza,Toyota,2022,"80,000 km",Petrol,Manual,"EMI ₹10,945/m*",₹6.20 lakh
91,Tata NEXON,Tata,2023,"55,570 km",Diesel,Manual,"EMI ₹20,855/m*",₹12.18 lakh
92,Hyundai VENUE,Hyundai,2019,"1,15,611 km",Diesel,Manual,"EMI ₹16,928/m*",₹7.61 lakh
93,Hyundai Elite i20,Hyundai,2014,"1,14,397 km",Petrol,Manual,"EMI ₹12,123/m*",₹3.65 lakh
94,Mahindra XUV500,Mahindra,2013,"1,61,209 km",Diesel,Manual,"EMI ₹26,477/m*",₹2.98 lakh
95,Mahindra XUV500,Mahindra,2013,"2,43,028 km",Diesel,Manual,"EMI ₹30,031/m*",₹3.38 lakh
96,Tata NEXON,Tata,2022,"1,90,015 km",Diesel,Manual,"EMI ₹23,591/m*",₹10.85 lakh
97,Hyundai Elite i20,Hyundai,2020,"90,573 km",Petrol,Manual,"EMI ₹9,868/m*",₹5.59 lakh
98,Mahindra XUV700,Mahindra,2023,"34,911 km",Petrol,Auto,"EMI ₹35,358/m*",₹20.65 lakh
99,Mahindra XUV500,Mahindra,2016,"96,105 km",Diesel,Manual,"EMI ₹18,855/m*",₹7.16 lakh
100,Volkswagen Vento,Volkswagen,2014,"2,08,290 km",Diesel,Manual,"EMI ₹18,453/m*",₹3.92 lakh
101,Skoda Rapid,Skoda,2017,"1,06,459 km",Diesel,Auto,"EMI ₹11,856/m*",₹5.33 lakh
102,Toyota URBAN CRUISER,Toyota,2022,"52,048 km",Petrol,Manual,"EMI ₹13,240/m*",₹7.50 lakh
103,Audi A4,Audi,2013,"96,700 km",Diesel,Auto,"EMI ₹59,706/m*",₹6.72 lakh
104,Renault Kiger,Renault,2023,"40,955 km",Petrol,Auto,"EMI ₹12,163/m*",₹6.89 lakh
105,Hyundai Creta,Hyundai,2016,"1,11,631 km",Diesel,Manual,"EMI ₹16,590/m*",₹6.30 lakh
106,Tata Tiago,Tata,2022,"73,817 km",Petrol,Manual,"EMI ₹10,345/m*",₹5.86 lakh
107,Maruti Ciaz,Maruti,2015,"92,292 km",Diesel,Manual,"EMI ₹15,943/m*",₹4.80 lakh
108,CITROEN C3,CITROEN,2022,"25,495 km",Petrol,Manual,"EMI ₹8,826/m*",₹5.00 lakh
109,Tata Tiago,Tata,2024,"46,321 km",Petrol,Manual,"EMI ₹8,826/m*",₹5.00 lakh
110,Jeep Compass,Jeep,2019,"1,91,746 km",Diesel,Manual,"EMI ₹25,004/m*",₹11.50 lakh
111,Toyota Innova Crysta,Toyota,2018,"2,17,887 km",Diesel,Manual,"EMI ₹33,766/m*",₹15.53 lakh
112,Ford Endeavour,Ford,2017,"1,18,227 km",Diesel,Auto,"EMI ₹48,312/m*",₹22.22 lakh
113,Audi Q3,Audi,2016,"54,771 km",Diesel,Auto,"EMI ₹36,158/m*",₹13.99 lakh
114,Chevrolet Cruze,Chevrolet,2015,"86,274 km",Diesel,Auto,"EMI ₹15,744/m*",₹4.74 lakh
115,Hyundai VENUE,Hyundai,2021,"1,14,503 km",Diesel,Manual,"EMI ₹17,394/m*",₹8.00 lakh
116,Hyundai Creta,Hyundai,2022,"43,168 km",Diesel,Manual,"EMI ₹17,996/m*",₹10.51 lakh
117,KIA SONET,KIA,2023,"10,366 km",Diesel,Manual,"EMI ₹26,814/m*",₹15.66 lakh
118,Skoda Superb,Skoda,2014,"1,50,723 km",Diesel,Auto,"EMI ₹25,937/m*",₹5.51 lakh
119,Ford Ecosport,Ford,2015,"1,08,806 km",Diesel,Manual,"EMI ₹14,282/m*",₹4.30 lakh
120,Mahindra XUV500,Mahindra,2016,"2,32,407 km",Diesel,Manual,"EMI ₹15,827/m*",₹6.01 lakh
121,Toyota Fortuner,Toyota,2023,"93,589 km",Diesel,Auto,"EMI ₹71,914/m*",₹42.00 lakh
122,Maruti Dzire,Maruti,2022,"82,984 km",Petrol,Manual,"EMI ₹12,357/m*",₹7.00 lakh
123,Mitsubishi Pajero Sport,Mitsubishi,2014,"3,40,989 km",Diesel,Manual,"EMI ₹29,562/m*",₹6.28 lakh
124,Skoda Octavia,Skoda,2015,"1,58,887 km",Diesel,Auto,"EMI ₹21,623/m*",₹6.51 lakh
125,MG HECTOR,MG,2020,"1,68,469 km",Diesel,Manual,"EMI ₹28,917/m*",₹13.30 lakh
126,Maruti Eeco,Maruti,2022,"56,392 km",Petrol,Manual,"EMI ₹10,486/m*",₹5.94 lakh
127,Ford Endeavour,Ford,2017,"2,45,181 km",Diesel,Auto,"EMI ₹31,244/m*",₹14.37 lakh
128,Skoda KUSHAQ,Skoda,2023,"62,950 km",Petrol,Manual,"EMI ₹17,979/m*",₹10.50 lakh
129,KIA SONET,KIA,2021,"1,60,852 km",Diesel,Manual,"EMI ₹17,937/m*",₹8.25 lakh
130,KIA SELTOS,KIA,2022,"37,131 km",Diesel,Auto,"EMI ₹22,088/m*",₹12.90 lakh
131,Maruti Vitara Brezza,Maruti,2018,"7,774 km",Diesel,Manual,"EMI ₹14,917/m*",₹7.63 lakh
132,Tata NEXON EV,Tata,2021,"53,241 km",Electric,Auto,"EMI ₹19,982/m*",₹11.67 lakh
133,Toyota Innova Crysta,Toyota,2022,"36,120 km",Petrol,Auto,"EMI ₹30,820/m*",₹18.00 lakh
134,Ford Endeavour,Ford,2017,"9,99,999 km",Diesel,Auto,"EMI ₹49,638/m*",₹22.83 lakh
135,KIA SELTOS,KIA,2020,"92,197 km",Diesel,Auto,"EMI ₹23,475/m*",₹13.71 lakh
136,Tata Hexa,Tata,2017,"2,72,583 km",Diesel,Auto,"EMI ₹15,571/m*",₹7.00 lakh
137,Audi Q7,Audi,2014,"66,849 km",Diesel,Auto,"EMI ₹72,242/m*",₹15.50 lakh
138,Skoda Kodiaq,Skoda,2017,"1,08,127 km",Diesel,Auto,"EMI ₹35,745/m*",₹16.44 lakh
139,Toyota Fortuner,Toyota,2013,"1,48,394 km",Diesel,Auto,"EMI ₹96,071/m*",₹10.87 lakh
140,Honda City,Honda,2014,"1,47,553 km",Diesel,Manual,"EMI ₹18,829/m*",₹4.00 lakh
141,Nissan Micra Active,Nissan,2016,"67,823 km",Petrol,Manual,"EMI ₹5,205/m*",₹2.34 lakh
142,Hyundai Elite i20,Hyundai,2015,"1,13,326 km",Diesel,Manual,"EMI ₹12,655/m*",₹3.81 lakh
143,Maruti IGNIS,Maruti,2019,"38,836 km",Petrol,Manual,"EMI ₹6,426/m*",₹3.64 lakh
144,Maruti S PRESSO,Maruti,2024,"18,150 km",Petrol,Auto,"EMI ₹9,003/m*",₹5.10 lakh
145,Chevrolet Sail,Chevrolet,2015,"68,663 km",Diesel,Manual,"EMI ₹6,809/m*",₹2.05 lakh
146,Chevrolet Beat,Chevrolet,2016,"93,758 km",Diesel,Manual,"EMI ₹4,477/m*",₹1.70 lakh
147,Maruti Swift,Maruti,2017,"1,00,174 km",Diesel,Manual,"EMI ₹10,232/m*",₹4.60 lakh
148,KIA SELTOS,KIA,2023,"62,610 km",Diesel,Auto,"EMI ₹29,194/m*",₹17.05 lakh
149,Chevrolet Cruze,Chevrolet,2012,"1,00,296 km",Diesel,Auto,"EMI ₹29,194/m*",₹2.06 lakh
150,Maruti Swift Dzire,Maruti,2016,"1,36,220 km",Petrol,Manual,"EMI ₹7,563/m*",₹3.40 lakh
151,Maruti XL6,Maruti,2022,"56,730 km",Petrol,Auto,"EMI ₹19,280/m*",₹11.26 lakh
152,Hyundai Verna,Hyundai,2014,"1,19,335 km",Petrol,Manual,"EMI ₹11,060/m*",₹3.33 lakh
153,Honda City,Honda,2015,"1,56,844 km",Diesel,Manual,"EMI ₹13,319/m*",₹4.01 lakh
154,Tata Tiago,Tata,2021,"13,500 km",Petrol,Manual,"EMI ₹10,539/m*",₹5.97 lakh
