,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
49,Maruti Alto K10,Maruti,2023,"62,405 km",Petrol,Manual,"EMI ₹5,743/m*",₹3.25 lakh
50,Maruti Swift,Maruti,2014,"66,950 km",Diesel,Manual,"EMI ₹12,908/m*",₹2.74 lakh
51,Tata Tiago,Tata,2019,"63,290 km",CNG,Manual,"EMI ₹6,901/m*",₹3.53 lakh
52,Renault Duster,Renault,2017,"68,187 km",Diesel,Manual,"EMI ₹8,453/m*",₹3.80 lakh
53,Maruti Swift Dzire,Maruti,2016,"81,807 km",Petrol,Manual,"EMI ₹7,385/m*",₹3.32 lakh
54,Renault TRIBER,Renault,2019,"83,002 km",Petrol,Manual,"EMI ₹4,996/m*",₹2.83 lakh
55,Hyundai Grand i10,Hyundai,2015,"43,563 km",Petrol,Manual,"EMI ₹6,899/m*",₹2.62 lakh
56,Maruti S Cross,Maruti,2017,"56,708 km",Diesel,Manual,"EMI ₹9,810/m*",₹4.41 lakh
57,Hyundai Grand i10,Hyundai,2014,"52,075 km",Petrol,Manual,"EMI ₹8,802/m*",₹2.65 lakh
58,Renault Duster,Renault,2015,"80,782 km",Diesel,Manual,"EMI ₹10,396/m*",₹3.13 lakh
59,Hyundai Grand i10,Hyundai,2015,"67,072 km",Petrol,Manual,"EMI ₹6,320/m*",₹2.40 lakh
60,Maruti Grand Vitara,Maruti,2024,"44,048 km",Petrol,Manual,"EMI ₹15,648/m*",₹9.14 lakh
61,Tata Tiago,Tata,2018,"1,20,004 km",Diesel,Manual,"EMI ₹6,317/m*",₹2.84 lakh
62,Renault Kwid,Renault,2021,"82,130 km",Petrol,Manual,"EMI ₹4,254/m*",₹2.41 lakh
63,Tata PUNCH,Tata,2023,"30,699 km",Petrol,Auto,"EMI ₹11,580/m*",₹6.56 lakh
64,Tata NEXON,Tata,2022,"92,447 km",Diesel,Manual,"EMI ₹10,196/m*",₹5.78 lakh
65,Maruti Alto K10,Maruti,2018,"57,189 km",Petrol,Auto,"EMI ₹4,837/m*",₹2.74 lakh
66,Hyundai New Elantra,Hyundai,2017,"95,809 km",Petrol,Manual,"EMI ₹11,339/m*",₹5.80 lakh
67,Ford Ecosport,Ford,2017,"72,250 km",Diesel,Manual,"EMI ₹7,274/m*",₹3.27 lakh
68,Maruti Baleno,Maruti,2016,"58,393 km",Petrol,Manual,"EMI ₹7,786/m*",₹3.50 lakh
69,Mahindra BOLERO NEO,Mahindra,2022,"48,901 km",Diesel,Manual,"EMI ₹10,980/m*",₹6.22 lakh
70,Honda Jazz,Honda,2017,"73,792 km",Petrol,Auto,"EMI ₹6,412/m*",₹3.28 lakh
71,Maruti Ertiga,Maruti,2018,"27,863 km",Diesel,Manual,"EMI ₹10,792/m*",₹5.52 lakh
72,Maruti Alto K10,Maruti,2019,"22,583 km",Petrol,Manual,"EMI ₹5,291/m*",₹3.00 lakh
73,Honda WR-V,Honda,2021,"31,014 km",Diesel,Manual,"EMI ₹10,380/m*",₹5.88 lakh
74,Honda Brio,Honda,2013,"84,188 km",Petrol,Manual,"EMI ₹9,179/m*",₹1.95 lakh
75,Maruti Wagon R 1.0,Maruti,2013,"87,989 km",Petrol,Manual,"EMI ₹8,660/m*",₹1.84 lakh
76,Skoda KUSHAQ,Skoda,2022,"19,005 km",Petrol,Auto,"EMI ₹15,756/m*",₹9.20 lakh
77,Maruti Swift,Maruti,2016,"94,556 km",Petrol,Manual,"EMI ₹7,229/m*",₹3.25 lakh
78,Renault Kwid,Renault,2018,"63,853 km",Petrol,Manual,"EMI ₹3,584/m*",₹2.03 lakh
79,Maruti Swift Dzire,Maruti,2016,"73,424 km",Petrol,Manual,"EMI ₹8,787/m*",₹3.95 lakh
80,KIA SONET,KIA,2024,"11,521 km",Petrol,Manual,"EMI ₹14,040/m*",₹8.20 lakh
81,Maruti S PRESSO,Maruti,2022,"84,615 km",Petrol,Manual,"EMI ₹6,002/m*",₹3.40 lakh
82,KIA SELTOS,KIA,2020,"91,899 km",Petrol,Auto,"EMI ₹16,609/m*",₹9.70 lakh
83,Honda City,Honda,2019,"90,007 km",Petrol,Auto,"EMI ₹10,415/m*",₹5.90 lakh
84,Renault TRIBER,Renault,2024,"17,563 km",Petrol,Manual,"EMI ₹8,685/m*",₹4.92 lakh
85,Renault TRIBER,Renault,2020,"81,301 km",CNG,Manual,"EMI ₹7,326/m*",₹4.15 lakh
86,Honda City,Honda,2016,"82,773 km",Petrol,Manual,"EMI ₹9,672/m*",₹4.35 lakh
87,Maruti S PRESSO,Maruti,2021,"26,385 km",Petrol,Manual,"EMI ₹5,013/m*",₹2.84 lakh
88,Maruti Celerio,Maruti,2018,"40,035 km",Petrol,Manual,"EMI ₹6,151/m*",₹3.48 lakh
89,Maruti Swift,Maruti,2017,"78,682 km",Petrol,Manual,"EMI ₹6,843/m*",₹3.50 lakh
90,Tata ALTROZ,Tata,2023,"18,802 km",CNG,Manual,"EMI ₹12,180/m*",₹6.90 lakh
91,Hyundai Grand i10,Hyundai,2017,"49,543 km",Petrol,Manual,"EMI ₹6,766/m*",₹3.46 lakh
92,Tata NEXON,Tata,2022,"40,079 km",Petrol,Manual,"EMI ₹12,110/m*",₹6.86 lakh
93,Hyundai Creta,Hyundai,2023,"40,354 km",Petrol,Manual,"EMI ₹17,893/m*",₹10.45 lakh
94,Maruti Ertiga,Maruti,2016,"68,424 km",Petrol,Auto,"EMI ₹10,744/m*",₹4.83 lakh
95,KIA SONET,KIA,2021,"97,057 km",Diesel,Manual,"EMI ₹13,575/m*",₹7.69 lakh
96,Renault TRIBER,Renault,2021,"33,102 km",Petrol,Manual,"EMI ₹7,729/m*",₹4.38 lakh
97,KIA SONET,KIA,2021,"57,281 km",Petrol,Manual,"EMI ₹12,180/m*",₹6.90 lakh
98,Hyundai Creta,Hyundai,2015,"85,018 km",Diesel,Manual,"EMI ₹19,763/m*",₹5.95 lakh
99,Tata Tiago,Tata,2022,"14,740 km",Petrol,Manual,"EMI ₹8,413/m*",₹4.77 lakh
100,Tata Indigo ECS,Tata,2015,"96,240 km",Diesel,Manual,"EMI ₹4,646/m*",₹1.40 lakh
101,Maruti Grand Vitara,Maruti,2023,"22,083 km",Petrol,Manual,"EMI ₹16,453/m*",₹9.61 lakh
102,Hyundai ALCAZAR,Hyundai,2022,"26,698 km",Petrol,Manual,"EMI ₹20,061/m*",₹11.72 lakh
103,Renault Kwid,Renault,2019,"35,610 km",Petrol,Manual,"EMI ₹4,490/m*",₹2.54 lakh
104,Hyundai Elite i20,Hyundai,2017,"57,569 km",Petrol,Manual,"EMI ₹8,580/m*",₹4.39 lakh
105,Hyundai Elite i20,Hyundai,2017,"64,792 km",Petrol,Manual,"EMI ₹8,817/m*",₹4.51 lakh
106,Hyundai i10,Hyundai,2012,"63,888 km",Petrol,Manual,"EMI ₹11,550/m*",₹1.30 lakh
107,Maruti Ertiga,Maruti,2017,"2,30,832 km",Diesel,Manual,"EMI ₹13,569/m*",₹6.10 lakh
108,Honda Amaze,Honda,2019,"55,434 km",Petrol,Manual,"EMI ₹7,326/m*",₹4.15 lakh
109,Maruti BREZZA,Maruti,2022,"56,562 km",Petrol,Manual,"EMI ₹10,569/m*",₹5.99 lakh
110,Maruti Ritz,Maruti,2012,"1,43,855 km",Diesel,Manual,"EMI ₹10,569/m*",₹1.43 lakh
111,Ford Ecosport,Ford,2020,"69,330 km",Diesel,Manual,"EMI ₹11,174/m*",₹6.33 lakh
112,Maruti Ciaz,Maruti,2015,"1,04,530 km",Petrol,Manual,"EMI ₹8,400/m*",₹3.19 lakh
113,Maruti Baleno,Maruti,2016,"1,03,008 km",Petrol,Manual,"EMI ₹6,206/m*",₹2.79 lakh
114,Hyundai Elite i20,Hyundai,2016,"1,46,639 km",Diesel,Manual,"EMI ₹9,270/m*",₹3.52 lakh
