,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
257,KIA SELTOS,KIA,2022,"43,294 km",Petrol,Manual,"EMI ₹19,348/m*",₹11.30 lakh
258,KIA SONET,KIA,2022,"22,221 km",Petrol,Auto,"EMI ₹15,787/m*",₹9.22 lakh
259,Mahindra XUV300,Mahindra,2023,"65,765 km",Diesel,Manual,"EMI ₹15,667/m*",₹9.15 lakh
260,Mahindra SCORPIO-N,Mahindra,2024,"17,527 km",Diesel,Auto,"EMI ₹39,930/m*",₹23.32 lakh
261,Mahindra BOLERO NEO,Mahindra,2023,"44,931 km",Diesel,Manual,"EMI ₹14,160/m*",₹8.27 lakh
262,Toyota Innova,Toyota,2013,"1,15,129 km",Diesel,Manual,"EMI ₹46,734/m*",₹5.26 lakh
263,Tata Harrier,Tata,2021,"62,925 km",Diesel,Manual,"EMI ₹22,259/m*",₹13.00 lakh
264,Tata Hexa,Tata,2018,"85,880 km",Diesel,Manual,"EMI ₹15,970/m*",₹8.39 lakh
265,Hyundai VENUE N LINE,Hyundai,2023,"33,532 km",Petrol,Auto,"EMI ₹19,451/m*",₹11.36 lakh
266,Hyundai Elite i20,Hyundai,2016,"59,163 km",Diesel,Manual,"EMI ₹10,955/m*",₹4.16 lakh
267,Tata Harrier,Tata,2019,"9,15,510 km",Diesel,Manual,"EMI ₹20,547/m*",₹9.45 lakh
268,Mahindra Scorpio,Mahindra,2022,"82,625 km",Diesel,Manual,"EMI ₹28,149/m*",₹16.44 lakh
269,MG HECTOR,MG,2019,"16,418 km",Petrol,Auto,"EMI ₹22,961/m*",₹13.41 lakh
270,Maruti Vitara Brezza,Maruti,2016,"1,85,972 km",Diesel,Manual,"EMI ₹11,824/m*",₹4.49 lakh
271,Maruti BREZZA,Maruti,2022,"56,329 km",Petrol,Manual,"EMI ₹13,698/m*",₹8.00 lakh
272,Hyundai NEW I20 N LINE,Hyundai,2022,"37,920 km",Petrol,Manual,"EMI ₹16,523/m*",₹9.65 lakh
