,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
221,Hyundai GRAND I10 NIOS,Hyundai,2024,"51,147 km",Petrol,Manual,"EMI ₹10,962/m*",₹6.21 lakh
222,Hyundai Grand i10,Hyundai,2017,"91,274 km",Petrol,Manual,"EMI ₹7,273/m*",₹3.72 lakh
223,Tata Tiago,Tata,2023,"23,333 km",Petrol,Manual,"EMI ₹7,944/m*",₹4.50 lakh
224,Hyundai Xcent,Hyundai,2016,"93,878 km",Petrol,Manual,"EMI ₹7,674/m*",₹3.45 lakh
225,Maruti Ciaz,Maruti,2015,"84,359 km",Petrol,Manual,"EMI ₹11,113/m*",₹4.22 lakh
226,Hyundai New Elantra,Hyundai,2015,"1,54,361 km",Diesel,Auto,"EMI ₹14,315/m*",₹4.31 lakh
227,Renault Duster,Renault,2017,"1,50,539 km",Diesel,Manual,"EMI ₹9,120/m*",₹4.10 lakh
228,Hyundai Elite i20,Hyundai,2017,"76,681 km",Petrol,Manual,"EMI ₹8,152/m*",₹4.17 lakh
229,Honda Amaze,Honda,2023,"26,339 km",Petrol,Manual,"EMI ₹12,639/m*",₹7.16 lakh
230,Hyundai Elite i20,Hyundai,2016,"51,938 km",Petrol,Manual,"EMI ₹8,942/m*",₹4.02 lakh
231,MG HECTOR,MG,2021,"41,861 km",Petrol,Auto,"EMI ₹17,979/m*",₹10.50 lakh
232,Ford Ecosport,Ford,2016,"58,702 km",Diesel,Manual,"EMI ₹13,114/m*",₹4.98 lakh
233,Hyundai Creta,Hyundai,2024,"6,013 km",Petrol,Manual,"EMI ₹22,259/m*",₹13.00 lakh
234,Mahindra XUV300,Mahindra,2023,"12,477 km",Petrol,Manual,"EMI ₹13,151/m*",₹7.45 lakh
235,Maruti S Cross,Maruti,2018,"1,03,665 km",Diesel,Manual,"EMI ₹12,568/m*",₹5.65 lakh
236,Honda Amaze,Honda,2019,"1,21,095 km",Diesel,Auto,"EMI ₹11,523/m*",₹5.18 lakh
237,Hyundai NEW SANTRO,Hyundai,2018,"26,507 km",Petrol,Manual,"EMI ₹5,631/m*",₹3.19 lakh
238,Hyundai New Elantra,Hyundai,2014,"1,03,549 km",Petrol,Auto,"EMI ₹13,120/m*",₹3.95 lakh
239,Maruti Ciaz,Maruti,2023,"20,524 km",Petrol,Manual,"EMI ₹13,928/m*",₹7.89 lakh
240,Tata Tiago,Tata,2021,"53,620 km",Petrol,Manual,"EMI ₹7,750/m*",₹4.39 lakh
241,Hyundai Verna,Hyundai,2025,"6,000 km",Petrol,Auto,"EMI ₹23,937/m*",₹13.98 lakh
242,Maruti BREZZA,Maruti,2023,"14,652 km",Petrol,Manual,"EMI ₹18,321/m*",₹10.70 lakh
243,Maruti Eeco,Maruti,2024,"22,423 km",Petrol,Manual,"EMI ₹10,680/m*",₹6.05 lakh
244,Maruti Baleno,Maruti,2024,"7,194 km",Petrol,Auto,"EMI ₹12,992/m*",₹7.36 lakh
245,Hyundai VENUE,Hyundai,2021,"1,61,877 km",Diesel,Manual,"EMI ₹17,684/m*",₹7.95 lakh
246,Mahindra XUV 3XO,Mahindra,2025,"2,644 km",Diesel,Manual,"EMI ₹20,804/m*",₹12.15 lakh
247,Mahindra Bolero,Mahindra,2013,"1,42,928 km",Diesel,Manual,"EMI ₹28,520/m*",₹3.21 lakh
248,Jeep Compass,Jeep,2019,"1,10,418 km",Diesel,Manual,"EMI ₹18,481/m*",₹8.50 lakh
249,MG HECTOR,MG,2021,"78,500 km",Petrol,Manual,"EMI ₹16,609/m*",₹9.70 lakh
250,Maruti Eeco,Maruti,2019,"1,18,908 km",Petrol,Manual,"EMI ₹7,719/m*",₹3.47 lakh
251,MG HECTOR,MG,2024,"15,196 km",Diesel,Manual,"EMI ₹32,652/m*",₹19.07 lakh
252,Tata Hexa,Tata,2017,"1,51,034 km",Diesel,Auto,"EMI ₹12,234/m*",₹5.50 lakh
253,Skoda Superb,Skoda,2012,"65,164 km",Petrol,Auto,"EMI ₹37,850/m*",₹4.26 lakh
254,Datsun Go Plus,Datsun,2021,"13,627 km",Petrol,Manual,"EMI ₹7,061/m*",₹4.00 lakh
255,Tata Hexa,Tata,2017,"2,15,222 km",Diesel,Manual,"EMI ₹11,701/m*",₹5.26 lakh
