,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
103,Honda CRV,Honda,2015,"1,69,770 km",Petrol,Auto,"EMI ₹19,513/m*",₹7.41 lakh
104,Jeep Compass,Jeep,2022,"80,215 km",Diesel,Auto,"EMI ₹28,252/m*",₹16.50 lakh
105,Jeep Compass,Jeep,2021,"54,644 km",Diesel,Manual,"EMI ₹26,540/m*",₹15.50 lakh
106,Volvo XC 90,Volvo,2017,"1,18,067 km",Diesel,Auto,"EMI ₹61,596/m*",₹28.33 lakh
107,Ford Endeavour,Ford,2017,"1,27,179 km",Diesel,Auto,"EMI ₹36,745/m*",₹16.90 lakh
108,Volkswagen VIRTUS,Volkswagen,2023,"45,686 km",Petrol,Auto,"EMI ₹21,711/m*",₹12.68 lakh
109,Volkswagen VIRTUS,Volkswagen,2024,"4,043 km",Petrol,Manual,"EMI ₹23,441/m*",₹13.69 lakh
110,Hyundai ALCAZAR,Hyundai,2021,"1,36,654 km",Diesel,Auto,"EMI ₹23,917/m*",₹11.00 lakh
111,BYD ATTO 3,BYD,2022,"25,226 km",Electric,Auto,"EMI ₹43,200/m*",₹25.23 lakh
112,Jeep MERIDIAN,Jeep,2023,"56,238 km",Diesel,Auto,"EMI ₹51,265/m*",₹29.94 lakh
113,Toyota Innova Crysta,Toyota,2019,"1,59,380 km",Diesel,Auto,"EMI ₹33,701/m*",₹15.50 lakh
114,Ford Ecosport,Ford,2019,"1,32,494 km",Diesel,Manual,"EMI ₹11,189/m*",₹5.03 lakh
115,Renault Kwid,Renault,2017,"47,682 km",Petrol,Manual,"EMI ₹3,734/m*",₹1.91 lakh
116,Ford Endeavour,Ford,2012,"1,21,317 km",Diesel,Manual,"EMI ₹3,734/m*",₹2.91 lakh
117,Audi Q3,Audi,2017,"1,47,635 km",Diesel,Auto,"EMI ₹26,787/m*",₹12.32 lakh
118,Maruti Zen Estilo,Maruti,2013,"54,945 km",Petrol,Manual,"EMI ₹5,366/m*",₹1.14 lakh
