,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
68,Skoda KUSHAQ,Skoda,2022,"79,930 km",Petrol,Auto,"EMI ₹13,913/m*",₹7.88 lakh
69,Mahindra XUV300,Mahindra,2021,"37,334 km",Diesel,Manual,"EMI ₹14,022/m*",₹8.19 lakh
70,KIA SONET,KIA,2022,"70,318 km",Diesel,Manual,"EMI ₹14,811/m*",₹8.65 lakh
71,Tata ALTROZ,Tata,2023,"62,936 km",CNG,Auto,"EMI ₹10,525/m*",₹5.96 lakh
72,Hyundai EXTER,Hyundai,2023,"71,738 km",Petrol,Auto,"EMI ₹11,919/m*",₹6.75 lakh
73,Mahindra XUV300,Mahindra,2019,"62,977 km",Diesel,Manual,"EMI ₹11,853/m*",₹6.71 lakh
74,Tata NEXON,Tata,2020,"1,45,444 km",Petrol,Manual,"EMI ₹9,472/m*",₹4.26 lakh
75,Ford New Figo,Ford,2017,"31,904 km",Petrol,Manual,"EMI ₹4,594/m*",₹2.35 lakh
76,Hyundai GRAND I10 NIOS,Hyundai,2021,"80,384 km",Petrol,Manual,"EMI ₹7,499/m*",₹4.25 lakh
77,Maruti Ciaz,Maruti,2016,"1,16,531 km",Petrol,Manual,"EMI ₹7,645/m*",₹3.44 lakh
78,Maruti Dzire,Maruti,2017,"1,38,676 km",Diesel,Manual,"EMI ₹8,655/m*",₹3.89 lakh
79,Datsun Redi Go,Datsun,2021,"38,994 km",Petrol,Manual,"EMI ₹3,198/m*",₹1.81 lakh
80,Tata Tiago,Tata,2018,"50,971 km",Petrol,Manual,"EMI ₹5,302/m*",₹3.00 lakh
81,Tata ALTROZ,Tata,2020,"32,192 km",Petrol,Manual,"EMI ₹8,359/m*",₹4.74 lakh
82,Toyota YARIS,Toyota,2018,"66,129 km",Petrol,Auto,"EMI ₹9,800/m*",₹5.55 lakh
83,Tata Tiago,Tata,2022,"99,275 km",CNG,Manual,"EMI ₹7,368/m*",₹4.17 lakh
84,Honda City,Honda,2015,"80,810 km",Petrol,Manual,"EMI ₹8,949/m*",₹3.40 lakh
85,Volkswagen Polo,Volkswagen,2013,"86,334 km",Petrol,Manual,"EMI ₹10,741/m*",₹2.28 lakh
86,Ford Ecosport,Ford,2017,"90,376 km",Diesel,Manual,"EMI ₹7,548/m*",₹3.39 lakh
87,Hyundai Creta,Hyundai,2017,"72,393 km",Petrol,Manual,"EMI ₹11,242/m*",₹5.75 lakh
