,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
167,Honda WR-V,Honda,2017,"78,277 km",Petrol,Manual,"EMI ₹8,602/m*",₹4.40 lakh
168,Volkswagen Vento,Volkswagen,2011,"1,91,005 km",Diesel,Manual,"EMI ₹8,602/m*",₹1.55 lakh
169,Skoda Rapid,Skoda,2013,"1,11,069 km",Diesel,Manual,"EMI ₹23,634/m*",₹2.66 lakh
170,Hyundai Elite i20,Hyundai,2015,"50,995 km",Petrol,Manual,"EMI ₹10,270/m*",₹3.90 lakh
171,Volkswagen Polo,Volkswagen,2016,"62,592 km",Petrol,Manual,"EMI ₹7,719/m*",₹3.47 lakh
172,Maruti Zen Estilo,Maruti,2010,"24,822 km",Petrol,Manual,"EMI ₹7,719/m*",₹1.10 lakh
173,Renault TRIBER,Renault,2022,"30,955 km",Petrol,Manual,"EMI ₹10,150/m*",₹5.75 lakh
174,Mahindra TUV300,Mahindra,2015,"67,814 km",Diesel,Manual,"EMI ₹13,286/m*",₹4.00 lakh
175,Mahindra XUV500,Mahindra,2012,"1,51,653 km",Diesel,Manual,"EMI ₹13,286/m*",₹3.24 lakh
176,Chevrolet Spark,Chevrolet,2010,3 km,Petrol,Manual,"EMI ₹13,286/m*",₹0.66 lakh
177,Hyundai Verna,Hyundai,2015,"1,20,122 km",Diesel,Manual,"EMI ₹14,282/m*",₹4.30 lakh
178,Renault Duster,Renault,2013,"95,855 km",Diesel,Manual,"EMI ₹19,991/m*",₹2.25 lakh
179,Renault Duster,Renault,2015,"96,500 km",Diesel,Manual,"EMI ₹11,426/m*",₹3.44 lakh
180,Honda City,Honda,2010,"1,10,425 km",Petrol,Manual,"EMI ₹11,426/m*",₹1.26 lakh
181,Renault Kiger,Renault,2021,"23,834 km",Petrol,Auto,"EMI ₹9,091/m*",₹5.15 lakh
182,Hyundai Creta,Hyundai,2017,"1,20,008 km",Diesel,Auto,"EMI ₹15,059/m*",₹6.77 lakh
183,Chevrolet Cruze,Chevrolet,2011,"79,808 km",Diesel,Auto,"EMI ₹15,059/m*",₹1.80 lakh
184,Hyundai Grand i10,Hyundai,2017,"1,50,000 km",Petrol,Manual,"EMI ₹7,719/m*",₹3.47 lakh
185,Maruti S Cross,Maruti,2017,"1,15,927 km",Diesel,Manual,"EMI ₹12,835/m*",₹5.77 lakh
186,Hyundai Elite i20,Hyundai,2019,"72,066 km",Petrol,Manual,"EMI ₹9,179/m*",₹5.20 lakh
187,Hyundai Grand i10,Hyundai,2016,"64,883 km",Petrol,Manual,"EMI ₹7,563/m*",₹3.40 lakh
188,Maruti Alto 800,Maruti,2014,"48,063 km",Petrol,Manual,"EMI ₹6,643/m*",₹2.00 lakh
189,Mahindra Scorpio,Mahindra,2017,"1,00,000 km",Diesel,Manual,"EMI ₹16,505/m*",₹7.42 lakh
190,Maruti Ciaz,Maruti,2015,"73,683 km",Petrol,Manual,"EMI ₹10,402/m*",₹3.95 lakh
191,Tata Tiago,Tata,2021,"63,986 km",Petrol,Manual,"EMI ₹10,239/m*",₹5.80 lakh
192,Maruti Celerio,Maruti,2019,"1,58,894 km",Petrol,Manual,"EMI ₹7,118/m*",₹3.20 lakh
193,Honda Brio,Honda,2016,"61,023 km",Petrol,Manual,"EMI ₹6,451/m*",₹2.90 lakh
194,Hyundai AURA,Hyundai,2024,"17,502 km",Petrol,Manual,"EMI ₹11,916/m*",₹6.75 lakh
195,Hyundai Creta,Hyundai,2016,"68,990 km",Petrol,Manual,"EMI ₹15,571/m*",₹7.00 lakh
196,Mahindra Kuv100,Mahindra,2015,"1,08,526 km",Petrol,Manual,"EMI ₹6,504/m*",₹2.47 lakh
197,Ford Figo,Ford,2010,"1,01,121 km",Petrol,Manual,"EMI ₹6,504/m*",₹0.86 lakh
198,Maruti Swift,Maruti,2015,"48,103 km",Petrol,Manual,"EMI ₹10,534/m*",₹4.00 lakh
199,Maruti Dzire,Maruti,2020,"68,344 km",Petrol,Manual,"EMI ₹9,709/m*",₹5.50 lakh
200,Maruti Baleno,Maruti,2019,"50,653 km",Petrol,Manual,"EMI ₹8,826/m*",₹5.00 lakh
201,Ford Ecosport,Ford,2015,"79,600 km",Diesel,Manual,"EMI ₹13,286/m*",₹4.00 lakh
202,Tata Hexa,Tata,2018,"3,95,607 km",Diesel,Manual,"EMI ₹13,347/m*",₹6.00 lakh
203,Maruti Grand Vitara,Maruti,2023,"46,206 km",Petrol,Manual,"EMI ₹16,917/m*",₹9.88 lakh
204,Maruti Wagon R 1.0,Maruti,2011,"84,728 km",Petrol,Manual,"EMI ₹16,917/m*",₹1.50 lakh
205,Ford New Figo,Ford,2017,"84,926 km",Diesel,Manual,"EMI ₹7,163/m*",₹3.22 lakh
206,Maruti Wagon R 1.0,Maruti,2017,"1,11,468 km",Petrol,Manual,"EMI ₹6,865/m*",₹3.09 lakh
207,Maruti A Star,Maruti,2010,"1,00,210 km",Petrol,Manual,"EMI ₹6,865/m*",₹1.29 lakh
208,Mahindra XUV500,Mahindra,2012,"1,31,993 km",Diesel,Manual,"EMI ₹6,865/m*",₹2.93 lakh
209,Maruti Wagon R 1.0,Maruti,2014,"65,215 km",Petrol,Manual,"EMI ₹7,971/m*",₹2.40 lakh
210,Maruti Swift,Maruti,2014,"2,13,960 km",Diesel,Manual,"EMI ₹18,123/m*",₹3.85 lakh
211,Maruti Ertiga,Maruti,2012,"1,49,854 km",Diesel,Manual,"EMI ₹18,123/m*",₹4.00 lakh
212,Ford Figo,Ford,2013,"1,61,465 km",Diesel,Manual,"EMI ₹13,683/m*",₹1.54 lakh
213,Maruti Swift Dzire,Maruti,2014,"88,536 km",Diesel,Manual,"EMI ₹15,440/m*",₹3.28 lakh
214,Maruti Ritz,Maruti,2011,"82,233 km",Petrol,Manual,"EMI ₹15,440/m*",₹1.48 lakh
215,Tata NEXON,Tata,2022,"84,426 km",Petrol,Manual,"EMI ₹14,212/m*",₹8.30 lakh
216,Hyundai NEW SANTRO,Hyundai,2019,"40,761 km",Petrol,Manual,"EMI ₹6,355/m*",₹3.60 lakh
217,Maruti Baleno,Maruti,2022,"88,989 km",Petrol,Manual,"EMI ₹9,532/m*",₹5.40 lakh
218,Hyundai Creta,Hyundai,2022,"46,774 km",Diesel,Manual,"EMI ₹16,266/m*",₹9.50 lakh
219,Maruti Baleno,Maruti,2017,"1,04,586 km",Petrol,Manual,"EMI ₹9,788/m*",₹4.40 lakh
220,Hyundai Grand i10,Hyundai,2015,"92,950 km",Petrol,Manual,"EMI ₹8,163/m*",₹3.10 lakh
