,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
91,Skoda Rapid,Skoda,2021,"45,456 km",Petrol,Auto,"EMI ₹15,410/m*",₹9.00 lakh
92,Renault Fluence,Renault,2012,"1,88,669 km",Diesel,Manual,"EMI ₹15,410/m*",₹3.16 lakh
93,Skoda Yeti,Skoda,2011,"1,61,481 km",Diesel,Manual,"EMI ₹15,410/m*",₹6.03 lakh
94,Maruti S Cross,Maruti,2016,"1,54,771 km",Diesel,Manual,"EMI ₹12,693/m*",₹4.82 lakh
95,Tata Harrier,Tata,2021,"58,598 km",Diesel,Manual,"EMI ₹20,547/m*",₹12.00 lakh
96,Tata NEXON,Tata,2019,"72,156 km",Petrol,Auto,"EMI ₹11,739/m*",₹6.65 lakh
97,MG HECTOR,MG,2021,"33,561 km",Diesel,Manual,"EMI ₹27,122/m*",₹15.84 lakh
98,Honda Amaze,Honda,2021,"98,791 km",Petrol,Auto,"EMI ₹11,474/m*",₹6.50 lakh
99,Hyundai Grand i10,Hyundai,2016,"32,380 km",Petrol,Auto,"EMI ₹10,410/m*",₹4.68 lakh
100,Tata ALTROZ,Tata,2023,"40,419 km",Diesel,Manual,"EMI ₹14,605/m*",₹8.53 lakh
101,Mahindra XUV700,Mahindra,2024,"34,143 km",Petrol,Auto,"EMI ₹28,149/m*",₹16.44 lakh
102,Mercedes Benz GLC CLASS,Mercedes,2020,"38,919 km",Diesel,Auto,"EMI ₹77,051/m*",₹45.00 lakh
103,Toyota RUMION,Toyota,2024,"13,270 km",Petrol,Auto,"EMI ₹26,831/m*",₹15.67 lakh
104,Hyundai VENUE,Hyundai,2023,"11,347 km",Petrol,Auto,"EMI ₹18,835/m*",₹11.00 lakh
105,KIA SELTOS,KIA,2021,"79,668 km",Petrol,Auto,"EMI ₹17,979/m*",₹10.50 lakh
106,Mercedes Benz E Class,Mercedes,2023,"21,783 km",Diesel,Auto,"EMI ₹101,793/m*",₹59.45 lakh
107,KIA SELTOS,KIA,2022,"70,140 km",Petrol,Auto,"EMI ₹19,263/m*",₹11.25 lakh
108,BMW 3 Series,BMW,2012,"1,07,911 km",Diesel,Auto,"EMI ₹19,263/m*",₹9.00 lakh
109,Skoda Yeti,Skoda,2012,"1,06,371 km",Diesel,Manual,"EMI ₹19,263/m*",₹4.88 lakh
110,Tata PUNCH EV,Tata,2025,"14,890 km",Electric,Auto,"EMI ₹21,780/m*",₹12.72 lakh
111,BMW 3 Series,BMW,2013,"1,23,543 km",Diesel,Auto,"EMI ₹101,639/m*",₹11.50 lakh
112,Hyundai KONA ELECTRIC,Hyundai,2022,"71,735 km",Electric,Auto,"EMI ₹27,447/m*",₹16.03 lakh
113,Tata PUNCH EV,Tata,2024,"9,20,000 km",Electric,Auto,"EMI ₹22,395/m*",₹10.30 lakh
114,Tata NEXON EV,Tata,2023,"83,832 km",Electric,Auto,"EMI ₹21,112/m*",₹12.33 lakh
115,KIA SELTOS,KIA,2022,"1,07,819 km",Diesel,Manual,"EMI ₹28,113/m*",₹12.93 lakh
116,Hyundai VENUE,Hyundai,2019,"58,526 km",Petrol,Manual,"EMI ₹11,710/m*",₹6.63 lakh
117,Honda BR-V,Honda,2019,"91,491 km",Petrol,Manual,"EMI ₹11,231/m*",₹6.36 lakh
118,Honda City,Honda,2016,"84,629 km",Petrol,Auto,"EMI ₹10,967/m*",₹4.93 lakh
119,KIA SONET,KIA,2021,"17,589 km",Petrol,Auto,"EMI ₹14,105/m*",₹7.99 lakh
120,Maruti Wagon R 1.0,Maruti,2017,"61,099 km",Petrol,Auto,"EMI ₹6,135/m*",₹3.14 lakh
121,Mahindra XUV300,Mahindra,2024,"20,844 km",Petrol,Auto,"EMI ₹15,718/m*",₹9.18 lakh
