,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
48,KIA SONET,KIA,2021,"94,136 km",Diesel,Auto,"EMI ₹12,004/m*",₹6.80 lakh
49,Hyundai New Elantra,Hyundai,2012,"87,134 km",Diesel,Auto,"EMI ₹12,004/m*",₹2.85 lakh
50,Maruti Alto,Maruti,2019,"97,707 km",CNG,Manual,"EMI ₹5,001/m*",₹2.56 lakh
51,Volkswagen Polo,Volkswagen,2016,"1,29,229 km",Petrol,Auto,"EMI ₹8,570/m*",₹3.85 lakh
52,Honda WR-V,Honda,2020,"86,870 km",Diesel,Manual,"EMI ₹9,647/m*",₹5.46 lakh
53,Hyundai Grand i10,Hyundai,2015,"53,419 km",Diesel,Manual,"EMI ₹10,303/m*",₹3.10 lakh
54,Maruti Alto 800,Maruti,2019,"30,088 km",Petrol,Manual,"EMI ₹4,325/m*",₹2.45 lakh
55,Maruti Eeco,Maruti,2018,"32,318 km",Petrol,Manual,"EMI ₹5,773/m*",₹3.27 lakh
56,Hyundai Elite i20,Hyundai,2019,"54,982 km",Petrol,Manual,"EMI ₹8,032/m*",₹4.55 lakh
57,Hyundai Grand i10,Hyundai,2017,"1,07,596 km",CNG,Manual,"EMI ₹7,984/m*",₹3.03 lakh
58,Honda Amaze,Honda,2013,"76,793 km",Petrol,Manual,"EMI ₹10,356/m*",₹2.20 lakh
59,Maruti Alto,Maruti,2019,"57,853 km",Petrol,Manual,"EMI ₹3,967/m*",₹2.25 lakh
60,Honda City,Honda,2015,"82,525 km",Petrol,Manual,"EMI ₹9,217/m*",₹3.50 lakh
61,Renault Kwid,Renault,2022,"16,733 km",Petrol,Manual,"EMI ₹5,384/m*",₹3.05 lakh
62,KIA SONET,KIA,2022,"22,105 km",Petrol,Manual,"EMI ₹12,357/m*",₹7.00 lakh
63,Hyundai Grand i10,Hyundai,2015,"78,834 km",CNG,Manual,"EMI ₹15,319/m*",₹3.25 lakh
64,KIA SELTOS,KIA,2023,"28,939 km",Petrol,Manual,"EMI ₹16,951/m*",₹9.90 lakh
65,Jeep Compass,Jeep,2019,"70,805 km",Petrol,Auto,"EMI ₹15,239/m*",₹8.90 lakh
66,Hyundai Creta,Hyundai,2019,"76,152 km",Petrol,Auto,"EMI ₹13,681/m*",₹7.75 lakh
67,Maruti IGNIS,Maruti,2022,"41,422 km",Petrol,Manual,"EMI ₹7,707/m*",₹4.37 lakh
68,Maruti Alto 800,Maruti,2018,"36,240 km",Petrol,Manual,"EMI ₹4,501/m*",₹2.55 lakh
69,Maruti Swift,Maruti,2014,"1,38,009 km",Petrol,Manual,"EMI ₹9,394/m*",₹2.83 lakh
70,Maruti Wagon R Stingray,Maruti,2013,"21,288 km",Petrol,Manual,"EMI ₹9,632/m*",₹2.05 lakh
71,Hyundai Elite i20,Hyundai,2016,"1,32,949 km",Diesel,Manual,"EMI ₹10,528/m*",₹4.00 lakh
72,Maruti Alto 800,Maruti,2017,"82,817 km",Petrol,Manual,"EMI ₹3,293/m*",₹1.68 lakh
73,Nissan MAGNITE,Nissan,2023,"39,099 km",Petrol,Auto,"EMI ₹12,004/m*",₹6.80 lakh
74,KIA SELTOS,KIA,2021,"37,133 km",Petrol,Manual,"EMI ₹17,186/m*",₹10.04 lakh
75,Honda City,Honda,2015,"76,581 km",Petrol,Manual,"EMI ₹11,592/m*",₹4.40 lakh
76,Datsun Redi Go,Datsun,2018,"48,379 km",Petrol,Auto,"EMI ₹2,613/m*",₹1.48 lakh
77,Hyundai i20,Hyundai,2013,"54,961 km",Petrol,Manual,"EMI ₹13,259/m*",₹2.82 lakh
78,Datsun Redi Go,Datsun,2016,"32,200 km",Petrol,Manual,"EMI ₹2,676/m*",₹1.20 lakh
79,Hyundai Elite i20,Hyundai,2019,"1,11,991 km",CNG,Manual,"EMI ₹12,234/m*",₹5.50 lakh
80,Hyundai VENUE,Hyundai,2019,"65,385 km",Petrol,Auto,"EMI ₹11,651/m*",₹6.60 lakh
81,Honda Amaze,Honda,2015,"35,930 km",Petrol,Manual,"EMI ₹7,900/m*",₹3.00 lakh
82,Hyundai NEW I20,Hyundai,2021,"45,985 km",Petrol,Auto,"EMI ₹11,474/m*",₹6.50 lakh
83,Ford Ecosport,Ford,2017,"79,601 km",Diesel,Manual,"EMI ₹8,826/m*",₹3.97 lakh
84,Maruti Eeco,Maruti,2018,"84,138 km",CNG,Manual,"EMI ₹8,661/m*",₹3.89 lakh
85,Nissan Micra,Nissan,2020,"79,380 km",Petrol,Auto,"EMI ₹7,941/m*",₹4.50 lakh
86,MG ASTOR,MG,2022,"65,670 km",Petrol,Auto,"EMI ₹15,325/m*",₹8.95 lakh
87,Renault TRIBER,Renault,2022,"24,691 km",Petrol,Manual,"EMI ₹8,036/m*",₹4.55 lakh
88,Tata Tiago,Tata,2021,"29,850 km",Petrol,Manual,"EMI ₹6,535/m*",₹3.70 lakh
89,Maruti Alto,Maruti,2020,"49,616 km",Petrol,Manual,"EMI ₹5,003/m*",₹2.83 lakh
90,Maruti Ciaz,Maruti,2017,"1,39,590 km",Diesel,Manual,"EMI ₹9,214/m*",₹4.14 lakh
91,Tata NEXON,Tata,2024,"18,392 km",Petrol,Auto,"EMI ₹15,281/m*",₹8.92 lakh
92,Hyundai Creta,Hyundai,2020,"87,080 km",Petrol,Manual,"EMI ₹15,118/m*",₹8.83 lakh
93,Hyundai NEW I20 N LINE,Hyundai,2023,"24,915 km",Petrol,Auto,"EMI ₹13,076/m*",₹7.41 lakh
94,MG HECTOR,MG,2019,"77,872 km",Petrol,Manual,"EMI ₹14,115/m*",₹8.24 lakh
95,Maruti Eeco,Maruti,2017,"37,708 km",CNG,Manual,"EMI ₹9,727/m*",₹3.69 lakh
96,Renault Kwid,Renault,2019,"52,407 km",Petrol,Manual,"EMI ₹4,852/m*",₹2.75 lakh
97,Mahindra XUV300,Mahindra,2021,"75,937 km",Diesel,Manual,"EMI ₹13,619/m*",₹7.71 lakh
98,Honda WR-V,Honda,2017,"1,06,869 km",Diesel,Manual,"EMI ₹11,181/m*",₹5.03 lakh
99,Ford Figo Aspire,Ford,2017,"85,826 km",Petrol,Manual,"EMI ₹5,122/m*",₹2.62 lakh
100,Maruti Wagon R 1.0,Maruti,2013,"64,760 km",Petrol,Manual,"EMI ₹8,050/m*",₹1.71 lakh
101,Tata TIGOR,Tata,2019,"47,615 km",Petrol,Manual,"EMI ₹5,896/m*",₹3.34 lakh
102,Volkswagen Vento,Volkswagen,2018,"1,11,005 km",Petrol,Auto,"EMI ₹8,497/m*",₹3.82 lakh
103,Maruti Eeco,Maruti,2015,"97,876 km",Petrol,Manual,"EMI ₹5,425/m*",₹2.06 lakh
104,Maruti Alto K10,Maruti,2024,"9,369 km",Petrol,Manual,"EMI ₹6,796/m*",₹3.85 lakh
105,Tata Tiago,Tata,2016,"1,00,705 km",Diesel,Manual,"EMI ₹5,161/m*",₹1.96 lakh
106,Maruti Ertiga,Maruti,2013,"1,49,878 km",Diesel,Manual,"EMI ₹35,540/m*",₹4.00 lakh
107,Maruti Swift,Maruti,2018,"77,520 km",Diesel,Auto,"EMI ₹7,390/m*",₹3.78 lakh
108,Maruti Alto 800,Maruti,2012,"85,216 km",Petrol,Manual,"EMI ₹11,995/m*",₹1.35 lakh
109,Maruti Celerio,Maruti,2014,"1,12,897 km",Petrol,Manual,"EMI ₹6,909/m*",₹2.08 lakh
110,Maruti Alto 800,Maruti,2017,"1,17,920 km",Petrol,Manual,"EMI ₹5,138/m*",₹2.31 lakh
