,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
244,Maruti Swift,Maruti,2019,"59,082 km",Petrol,Manual,"EMI ₹7,538/m*",₹4.27 lakh
245,Hyundai Elite i20,Hyundai,2017,"52,163 km",Petrol,Manual,"EMI ₹8,407/m*",₹4.30 lakh
246,Hyundai Grand i10,Hyundai,2014,"84,158 km",Petrol,Manual,"EMI ₹6,477/m*",₹1.95 lakh
247,Ford Ecosport,Ford,2016,"57,891 km",Petrol,Manual,"EMI ₹9,757/m*",₹4.39 lakh
248,Honda Brio,Honda,2015,"54,341 km",Petrol,Manual,"EMI ₹7,763/m*",₹2.95 lakh
249,Tata PUNCH,Tata,2022,"62,649 km",Petrol,Auto,"EMI ₹9,603/m*",₹5.44 lakh
250,Maruti Baleno,Maruti,2016,"69,973 km",Petrol,Manual,"EMI ₹9,565/m*",₹4.30 lakh
251,Hyundai Grand i10,Hyundai,2018,"67,896 km",Petrol,Manual,"EMI ₹6,249/m*",₹3.54 lakh
252,Hyundai Eon,Hyundai,2017,"14,800 km",Petrol,Manual,"EMI ₹4,564/m*",₹2.33 lakh
253,Maruti Alto K10,Maruti,2016,"44,783 km",Petrol,Auto,"EMI ₹6,451/m*",₹2.90 lakh
254,KIA CARENS,KIA,2022,"42,428 km",Petrol,Auto,"EMI ₹20,581/m*",₹12.02 lakh
255,Mahindra MARAZZO,Mahindra,2019,"50,344 km",Diesel,Manual,"EMI ₹10,747/m*",₹6.09 lakh
256,Hyundai Xcent,Hyundai,2016,"78,511 km",Petrol,Manual,"EMI ₹6,918/m*",₹3.11 lakh
257,Mahindra KUV 100 NXT,Mahindra,2018,"29,089 km",Petrol,Manual,"EMI ₹4,537/m*",₹2.57 lakh
258,Tata Hexa,Tata,2017,"76,356 km",Diesel,Manual,"EMI ₹15,855/m*",₹7.13 lakh
259,Maruti Swift,Maruti,2019,"1,30,885 km",Petrol,Auto,"EMI ₹10,502/m*",₹4.72 lakh
